"record_id","gate","component","source_kind","official_url","official_version","local_path","inspected_locator","expected","observed","alignment_status","execution_status","command_or_test","artifact_path","notes"
"T011","artifact","Repository and teleop test suites","runtime","https://github.com/xlr1012514182/T-Rex","agent/revo3-v1-demo working tree 2026-08-18","tests/revo3_v1; teleop_data_collection/tests","pytest result in teleop_data_collection_test_results.txt","All existing Revo3 and teleop component tests pass together","425 passed with two environment warnings; subsystem reruns report 288 Revo tests and 137 teleop tests","not-applicable","pass","py -3.10 -m pytest -q","audit/teleop_data_collection_test_results.txt","The warnings are optree compatibility and TensorFlow distutils deprecation notices and do not expand the verified scope. All hardware tests use injected clients and do not establish physical functionality."
"T012","artifact","Synthetic imitation-data readiness manifest","data","https://github.com/xlr1012514182/T-Rex","teleop-mock-20260817","audit/teleop_data_collection_mock_dataset_readiness.json","dataset readiness validator and mock audit artifact","Manifest traces labels to controller exact-sent targets and explicitly denies training approval and task-success evidence","Schema validator passes; task success rates remain conservatively zero and serialization match is reported separately","not-applicable","pass","py -3.10 E:/CodexData/skills/lehome-imitation-data/scripts/audit_dataset_readiness.py audit/teleop_data_collection_mock_dataset_readiness.json --json","audit/teleop_data_collection_mock_dataset_readiness.json","This approves only the manifest structure for a synthetic fixture, not model training."
"T013","smoke-environment","Physical Tianji Revo3 U21VT camera EMG and glove collection","repo","https://github.com/BrainCoTech","hardware-unverified","teleop_data_collection/configs/hardware.example.json; teleop_data_collection/configs/hardware_collection.example.json; teleop_data_collection/configs/hardware_probe.example.json","checked-in templates; README hardware gates; assess_hardware_collection_config blockers","Verified serials and fingerprints current Tianji SDK and feedback decoder Revo joint order units limits payload COM wrist pose and IK camera calibration five VisionTouch models clock evidence hold path physical E-stop and supervised capability probe","Those artifacts were not supplied; the templates keep connect and write false and remain deliberately impossible to arm","not-applicable","blocked","","audit/teleop_data_collection_source_identity.txt","Blocked pending physical capability probe and supervised bench validation; local fake SDK and orchestrator tests cannot substitute for hardware evidence."
"T014","smoke-actor","Glove-to-arm and glove-to-hand retargeting","repo","https://github.com/BrainCoTech/Revo-Retargeting","83087f108b0b853413842e6e185fe4fb509004c5","teleop_data_collection/src/revo3_teleop/sources","sources.lock.json; README glove paths","Verified wrist 6DoF pose IK and Revo21 retarget targets from the selected physical glove","BrainCo flex and IMU source has no position; MANUS boundary requires an explicitly verified wrist node; no physical retarget path was run","deviation","blocked","","audit/teleop_data_collection_source_identity.txt","Blocked by missing calibrated wrist tracker or MANUS mapping and hardware-specific IK and retarget validation."
"T015","source-identity","BrainCo Revo3 and ViTai VisionTouch public sources","repo","https://github.com/BrainCoTech/brainco-revo3-sdk","7ba96ebd5bee16b730577e2f7c5df98600da53eb; ViTai-Tech/ViTai-SDK-Release@0071c61a1bf13539ab8c12b537a69e11bb78430a","teleop_data_collection/sources.lock.json","brainco_revo3_sdk and vitai_sdk_release entries plus locked external wheel hashes","Pin the official BrainCo Revo3 source and the referenced VTSensor FORCE6D API without redistributing unverified wheels models or binaries","Exact commits and four pyvitaisdk4bc 1.0.10 external wheel identities are recorded; no wheel or force model is vendored","aligned","pass","py -3.10 teleop_data_collection/scripts/bootstrap_sources.py --list","audit/teleop_data_collection_source_identity.txt","Source identity and redistribution boundary only; this is not a connected Revo3 or VisionTouch claim."
"T016","adapter-plumbing","Official bc-revo3-sdk capability and telemetry boundary","repo","https://github.com/BrainCoTech/brainco-revo3-sdk","7ba96ebd5bee16b730577e2f7c5df98600da53eb; bc-revo3-sdk 1.5.1","teleop_data_collection/src/revo3_teleop/hardware/revo3_sdk.py","BrainCoRevo3SdkAssembly Revo3ProbeReport Revo3BenchApproval and hardware Revo tests","Require unique expected serial 21D state explicit collision capability 42-zone touch evidence bench-approved units limits hold E-stop and write opt-in","Injected SDK tests pass discovery identity shape collision missing-telemetry unit conversion projection and fail-closed write gates","aligned","pass","py -3.10 -m pytest -q teleop_data_collection/tests/test_hardware_revo3_sdk.py","audit/teleop_data_collection_test_results.txt","Component boundary only. No physical serial unit U21VT identity zero saturation limit collision hold or E-stop was verified."
"T017","adapter-plumbing","Official BrainCo EDU EMG and glove clients","repo","https://github.com/BrainCoTech/brainco-hand-sdk","5c399113efd35f5ce664d5d8f3e8ff750ced5d23; bc-edu-sdk 0.5.0","teleop_data_collection/src/revo3_teleop/hardware/brainco_edu.py; teleop_data_collection/src/revo3_teleop/hardware/brainco_glove.py; teleop_data_collection/src/revo3_teleop/hardware/brainco_edu_callbacks.py","discovery confirmation start gates callback namespace guard and injected SDK tests","EMG uses 8 channels at 250 Hz in 8x20 packets; glove uses six flex at 50 Hz calibrated IMU at 100 Hz and magnetometer at 20 Hz; shared process-global callbacks cannot be active together","Injected SDK tests pass exact profile packet callback identity cleanup and namespace exclusion; runner rejects same-process EMG plus glove","aligned","pass","py -3.10 -m pytest -q teleop_data_collection/tests/test_hardware_brainco_edu.py teleop_data_collection/tests/test_hardware_brainco_glove.py teleop_data_collection/tests/test_hardware_glove_runner.py","audit/teleop_data_collection_test_results.txt","No physical EMG or glove stream ran. Deployment requires separate libedu processes plus timestamp-preserving IPC; the six flex channels are not a 6DoF wrist pose or Revo21 target."
"T018","adapter-plumbing","Physical fisheye RGB acquisition and rectification boundary","runtime","https://github.com/xlr1012514182/T-Rex","f68bddc05747e4e857281204952b6e38659c74e7","teleop_data_collection/src/revo3_teleop/hardware/camera.py","OpenCV capability probe ProbedOpenCvCameraClient FisheyeRectificationConfig and injected camera tests","Lazy explicit probe and start; RGB identity and freeze evidence; versioned K D and new-K calibration hashes; raw and rectified streams remain distinct with no detector tracker SAM or learned calibration","Injected OpenCV tests pass resolution FPS calibration identity RGB conversion freeze deterministic fisheye rectification and partial-start cleanup ownership; a failed first release retains the handle for retry","not-applicable","pass","py -3.10 -m pytest -q teleop_data_collection/tests/test_hardware_camera.py","audit/teleop_data_collection_test_results.txt","No physical camera or calibration was measured; the checked-in placeholder cannot execute."
"T019","adapter-plumbing","U21VT VisionTouch five-finger FORCE6D boundary","repo","https://github.com/ViTai-Tech/ViTai-SDK-Release","0071c61a1bf13539ab8c12b537a69e11bb78430a; pyvitaisdk4bc 1.0.10","teleop_data_collection/src/revo3_teleop/hardware/visiontouch.py","VisionTouchForce6DSource and injected VisionTouch tests","Require exactly five unique sensor serials and per-serial encrypted model hashes then VTSensor calibrate and collect FORCE6D_VECTOR as five rows of Fx Fy Fz Mx My Mz","Injected SDK tests pass lazy loading identity model hash calibration shape finite aggregation and cleanup; output features are [5,6] only for the Force6D path","aligned","pass","py -3.10 -m pytest -q teleop_data_collection/tests/test_hardware_visiontouch.py","audit/teleop_data_collection_test_results.txt","No physical sensor force model zero saturation unit accuracy or U21VT-to-VisionTouch identity was verified. A 42-zone pressure projection is a separate stream and cannot be mislabeled as Force6D features."
"T020","adapter-plumbing","Hash-verified generic Tianji SDK and ABI loader","repo","https://github.com/fiveages-sim/marvin-ros2-control","82d836122c3cc4fac1a651fd84acc3591cccc677; supporting references pinned in tianji_sources.lock.json","teleop_data_collection/src/revo3_teleop/backends/tianji_loader.py; teleop_data_collection/src/revo3_teleop/backends/tianji_ctypes.py; teleop_data_collection/src/revo3_teleop/hardware/tianji.py","tianji source audit lock dynamic module and native-library hash checks ABI opt-in feedback decoder and injected loader tests","Load only an operator-supplied hash-pinned current SDK and decoder with explicit seven-joint order rad-degree boundary watchdog soft stop limits and disconnection evidence","Generic plugin and ctypes boundaries pass injected hash ABI feedback transaction retarget and failure tests; no authoritative current public Tianji vendor SDK or binary was found","deviation","pass","py -3.10 -m pytest -q teleop_data_collection/tests/test_tianji_loader_hardware.py teleop_data_collection/tests/test_tianji_backend.py teleop_data_collection/tests/test_tianji_retargeting.py","audit/teleop_data_collection_test_results.txt","This verifies a generic integration seam only. Tianji physical motion remains blocked until the operator supplies and validates the actual vendor ABI decoder safety geometry and arm token."
"T021","adapter-plumbing","One-command fail-closed hardware collection orchestrator","runtime","https://github.com/xlr1012514182/T-Rex","f68bddc05747e4e857281204952b6e38659c74e7","teleop_data_collection/src/revo3_teleop/hardware/collection.py; teleop_data_collection/src/revo3_teleop/cli/collect_hardware.py","readiness report injected end-to-end collection causal anchors exact-sent export output isolation startup ownership and bounded cleanup tests","Default audit imports no assembly plugin and connects or writes nothing; execution needs config and three CLI opt-ins; all anchors are causal and only accepted exact-sent Revo targets supervise VLA export; EMG remains outside VLA","Injected fake-dependency episode and fault tests pass readiness blockers dual capture/receive causality control timeout partial-start ownership bounded shutdown close-before-commit quarantine output-root isolation and Force6D export rules","not-applicable","pass","PYTHONPATH=teleop_data_collection/src;. py -3.10 -m pytest -q teleop_data_collection/tests/test_hardware_collection.py","audit/teleop_data_collection_test_results.txt","Component verification only. The default template is intentionally not execute-ready and no assembly factory or physical device was loaded."
"T022","artifact","Real Revo3 imitation-dataset readiness","data","https://github.com/xlr1012514182/T-Rex","not-created","teleop_data_collection/configs/hardware_collection.example.json","real-data requirements versus teleop_data_collection_mock_dataset_readiness.json","Immutable real dataset identity verified exact-sent controller labels 21D joint order units normalization causal capture and receive time camera review episode boundaries supervised hardware replay and task-success definition","Only synthetic manifests exist and they set training_approved false task_success_defined false and task-success rates to zero","not-applicable","blocked","","audit/teleop_data_collection_mock_dataset_readiness.json","Blocked until a real collection is frozen and passes the dataset-readiness and supervised physical replay gates. Synthetic exact serialization is not training approval or task success."
